date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:47	155428/155428	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:48%20GMT	https://yorkstreetspa.com/appointment-policies/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/appointment-policies/index.html	(from https://yorkstreetspa.com/)
14:35:48	3303/3303	---M-Z	200	added ('OK')	text/css	etag:%22ce7-669fd588-c84f79ae5e38c567;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css?ver=1.2.0	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min7359.css	(from https://yorkstreetspa.com/)
14:35:48	1707807/1707807	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Aug%202024%2006:35:47%20GMT	https://yorkstreetspa.com/wp-content/uploads/2023/12/products-yss.png	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/uploads/2023/12/products-yss.png	(from https://yorkstreetspa.com/)
14:35:49	162040/162040	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:50%20GMT	https://yorkstreetspa.com/salon/hair-styles/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/salon/hair-styles/index.html	(from https://yorkstreetspa.com/)
14:35:49	167656/167656	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:50%20GMT	https://yorkstreetspa.com/salon/haircuts/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/salon/haircuts/index.html	(from https://yorkstreetspa.com/)
14:35:49	5817/5817	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216b9-658c0a66-7275f008383a3a57;gz%22	https://yorkstreetspa.com/wp-content/themes/twentyseventeen/assets/js/jquery.scrollTo.js?ver=2.1.3	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/themes/twentyseventeen/assets/js/jquery.scrollTo4c71.js	(from https://yorkstreetspa.com/)
14:35:50	161769/161769	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:51%20GMT	https://yorkstreetspa.com/salon/curly-cuts-and-curly-styles/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/salon/curly-cuts-and-curly-styles/index.html	(from https://yorkstreetspa.com/)
14:35:50	44447/44447	---M-Z	200	added ('OK')	text/javascript	etag:%22ad9f-61ec5cff9153c-gzip%22	https://cdn.trustindex.io/loader.js?ver=6.4.5	C:/My%20Web%20Sites/yorkstreetspa.com/cdn.trustindex.io/loader75e4.js	(from https://yorkstreetspa.com/)
14:35:50	145392/145392	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:51%20GMT	https://yorkstreetspa.com/salon/hair-treatments/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/salon/hair-treatments/index.html	(from https://yorkstreetspa.com/)
14:35:51	184198/184198	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:51%20GMT	https://yorkstreetspa.com/salon/colouring/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/salon/colouring/index.html	(from https://yorkstreetspa.com/)
